county,administered_date,day,week,total_doses,cumulative_total_doses,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose
San Diego,2021-01-01,Friday,1,1449,55430,59,1006,1366,54482
San Diego,2021-01-02,Saturday,1,3862,59292,122,1128,3729,58211
San Diego,2021-01-03,Sunday,2,890,60182,11,1139,878,59089
San Diego,2021-01-04,Monday,2,4300,64482,443,1582,3841,62930
San Diego,2021-01-05,Tuesday,2,4481,68963,633,2215,3826,66756
San Diego,2021-01-06,Wednesday,2,5100,74063,1252,3467,3806,70562
San Diego,2021-01-07,Thursday,2,5826,79889,2209,5676,3569,74131
San Diego,2021-01-08,Friday,2,8133,88022,3842,9518,4236,78367
San Diego,2021-01-09,Saturday,2,3602,91624,1550,11068,2024,80391
San Diego,2021-01-10,Sunday,3,1946,93570,1123,12191,794,81185
San Diego,2021-01-11,Monday,3,10508,104078,3524,15715,6933,88118
San Diego,2021-01-12,Tuesday,3,11540,115618,3431,19146,8046,96164
San Diego,2021-01-13,Wednesday,3,11892,127510,2706,21852,9120,105284
San Diego,2021-01-14,Thursday,3,12343,139853,2069,23921,10105,115389
San Diego,2021-01-15,Friday,3,15217,155070,2694,26615,12440,127829
San Diego,2021-01-16,Saturday,3,10979,166049,1660,28275,9261,137090
San Diego,2021-01-17,Sunday,4,8489,174538,894,29169,7547,144637
San Diego,2021-01-18,Monday,4,13020,187558,2929,32098,10018,154655
San Diego,2021-01-19,Tuesday,4,15059,202617,3443,35541,11560,166215
San Diego,2021-01-20,Wednesday,4,18500,221117,3427,38968,15022,181237
San Diego,2021-01-21,Thursday,4,17647,238764,1626,40594,16023,197260
San Diego,2021-01-22,Friday,4,17715,256479,2229,42823,15462,212722
San Diego,2021-01-23,Saturday,4,14393,270872,2303,45126,12053,224775
San Diego,2021-01-24,Sunday,5,11826,282698,1064,46190,10739,235514
San Diego,2021-01-25,Monday,5,12446,295144,3180,49370,9257,244771
San Diego,2021-01-26,Tuesday,5,15323,310467,3542,52912,11749,256520
San Diego,2021-01-27,Wednesday,5,20892,331359,3222,56134,17672,274192
San Diego,2021-01-28,Thursday,5,21770,353129,2524,58658,19223,293415
San Diego,2021-01-29,Friday,5,19937,373066,2699,61357,17187,310602
San Diego,2021-01-30,Saturday,5,15777,388843,2785,64142,12974,323576
San Diego,2021-01-31,Sunday,6,14698,403541,520,64662,14163,337739
San Diego,2021-02-01,Monday,6,21699,425240,3869,68531,17761,355500
San Diego,2021-02-02,Tuesday,6,23486,448726,3607,72138,19837,375337
San Diego,2021-02-03,Wednesday,6,27535,476261,4490,76628,22986,398323
San Diego,2021-02-04,Thursday,6,24495,500756,4745,81373,19800,418123
San Diego,2021-02-05,Friday,6,24923,525679,6825,88198,18098,436221
San Diego,2021-02-06,Saturday,6,20804,546483,3440,91638,17318,453539
San Diego,2021-02-07,Sunday,7,12125,558608,1992,93630,10097,463636
San Diego,2021-02-08,Monday,7,20273,578881,7598,101228,12727,476363
San Diego,2021-02-09,Tuesday,7,20747,599628,7470,108698,13332,489695
San Diego,2021-02-10,Wednesday,7,23255,622883,9366,118064,14084,503779
San Diego,2021-02-11,Thursday,7,24075,646958,11276,129340,12890,516669
San Diego,2021-02-12,Friday,7,23663,670621,11994,141334,11955,528624
San Diego,2021-02-13,Saturday,7,19831,690452,9190,150524,10809,539433
San Diego,2021-02-14,Sunday,8,10995,701447,5049,155573,6180,545613
San Diego,2021-02-15,Monday,8,15202,716649,7620,163193,7925,553538
San Diego,2021-02-16,Tuesday,8,19292,735941,10177,173370,9798,563336
San Diego,2021-02-17,Wednesday,8,23533,759474,15431,188801,8227,571563
San Diego,2021-02-18,Thursday,8,24017,783491,16036,204837,8201,579764
San Diego,2021-02-19,Friday,8,16102,799593,9530,214367,6673,586437
San Diego,2021-02-20,Saturday,8,10491,810084,4761,219128,6013,592450
San Diego,2021-02-21,Sunday,9,11912,821996,6657,225785,5435,597885
San Diego,2021-02-22,Monday,9,13198,835194,7052,232837,6250,604135
San Diego,2021-02-23,Tuesday,9,25944,861138,16364,249201,10284,614419
San Diego,2021-02-24,Wednesday,9,29374,890512,22301,271502,7812,622231
San Diego,2021-02-25,Thursday,9,33431,923943,23237,294739,10918,633149
San Diego,2021-02-26,Friday,9,33419,957362,21244,315983,12531,645680
San Diego,2021-02-27,Saturday,9,21137,978499,9997,325980,11437,657117
San Diego,2021-02-28,Sunday,10,15275,993774,5849,331829,9554,666671
San Diego,2021-03-01,Monday,10,25277,1019051,10003,341832,15508,682179
San Diego,2021-03-02,Tuesday,10,26722,1045773,13720,355552,13728,695907
San Diego,2021-03-03,Wednesday,10,34319,1080092,19984,375536,15103,711010
San Diego,2021-03-04,Thursday,10,28576,1108668,15754,391290,13779,724789
San Diego,2021-03-05,Friday,10,29151,1137819,15479,406769,14406,739195
San Diego,2021-03-06,Saturday,10,23324,1161143,12990,419759,11494,750689
San Diego,2021-03-07,Sunday,11,18363,1179506,11324,431083,7973,758662
San Diego,2021-03-08,Monday,11,23130,1202636,11664,442747,12753,771415
San Diego,2021-03-09,Tuesday,11,25891,1228527,15618,458365,12335,783750
San Diego,2021-03-10,Wednesday,11,25538,1254065,15378,473743,12882,796632
San Diego,2021-03-11,Thursday,11,28642,1282707,18536,492279,13826,810458
San Diego,2021-03-12,Friday,11,27221,1309928,17265,509544,13351,823809
San Diego,2021-03-13,Saturday,11,26003,1335931,15838,525382,12190,835999
San Diego,2021-03-14,Sunday,12,13622,1349553,8768,534150,5676,841675
San Diego,2021-03-15,Monday,12,22007,1371560,12814,546964,10123,851798
San Diego,2021-03-16,Tuesday,12,29893,1401453,14261,561225,16193,867991
San Diego,2021-03-17,Wednesday,12,26783,1428236,9641,570866,17986,885977
San Diego,2021-03-18,Thursday,12,31590,1459826,14398,585264,18149,904126
San Diego,2021-03-19,Friday,12,30520,1490346,10934,596198,20642,924768
San Diego,2021-03-20,Saturday,12,27919,1518265,6347,602545,23341,948109
San Diego,2021-03-21,Sunday,13,16602,1534867,8728,611273,8517,956626
San Diego,2021-03-22,Monday,13,22729,1557596,8241,619514,14817,971443
San Diego,2021-03-23,Tuesday,13,26102,1583698,8917,628431,17521,988964
San Diego,2021-03-24,Wednesday,13,29620,1613318,12465,640896,17542,1006506
San Diego,2021-03-25,Thursday,13,30580,1643898,12516,653412,18749,1025255
San Diego,2021-03-26,Friday,13,32156,1676054,14571,667983,18054,1043309
San Diego,2021-03-27,Saturday,13,25492,1701546,9740,677723,16171,1059480
San Diego,2021-03-28,Sunday,14,15317,1716863,5986,683709,9401,1068881
San Diego,2021-03-29,Monday,14,27051,1743914,10604,694313,17169,1086050
San Diego,2021-03-30,Tuesday,14,33515,1777429,11404,705717,22847,1108897
San Diego,2021-03-31,Wednesday,14,30594,1808023,9922,715639,21391,1130288
San Diego,2021-04-01,Thursday,14,35323,1843346,11456,727095,25251,1155539
San Diego,2021-04-02,Friday,14,36082,1879428,11844,738939,27034,1182573
San Diego,2021-04-03,Saturday,14,30936,1910364,11266,750205,24258,1206831
San Diego,2021-04-04,Sunday,15,9016,1919380,4228,754433,5705,1212536
San Diego,2021-04-05,Monday,15,30342,1949722,10876,765309,22352,1234888
San Diego,2021-04-06,Tuesday,15,39140,1988862,16728,782037,28306,1263194
San Diego,2021-04-07,Wednesday,15,36456,2025318,16093,798130,24877,1288071
San Diego,2021-04-08,Thursday,15,35567,2060885,14292,812422,25509,1313580
San Diego,2021-04-09,Friday,15,38581,2099466,17907,830329,25973,1339553
San Diego,2021-04-10,Saturday,15,29237,2128703,14233,844562,19055,1358608
San Diego,2021-04-11,Sunday,16,16230,2144933,9192,853754,9487,1368095
San Diego,2021-04-12,Monday,16,30911,2175844,13846,867600,21486,1389581
San Diego,2021-04-13,Tuesday,16,37034,2212878,12686,880286,24397,1413978
San Diego,2021-04-14,Wednesday,16,33128,2246006,15383,895669,17905,1431883
