,type,amount
13,purchase,11588
14,sale_full,1042
15,sale_full,14756
16,purchase,4957
17,sale_partial,2753
18,purchase,7543
19,purchase,2307
20,sale_partial,11749
21,sale_full,14706
22,sale_full,14837
23,sale_partial,8793
24,purchase,10458
25,sale_partial,7708
26,purchase,11713
27,sale_partial,8402
28,sale_partial,11124
29,sale_full,6092
30,sale_full,5486
31,sale_full,8585
32,sale_full,3132
33,purchase,14816
34,sale_partial,2550
35,sale_full,11056
36,sale_full,7495
37,sale_partial,6407
38,sale_full,10839
39,sale_full,9677
40,sale_full,1016
41,sale_full,9875
42,sale_partial,9946
43,sale_partial,7285
44,sale_full,8768
45,sale_partial,939
46,sale_partial,72
47,sale_partial,129490
63,purchase,2113
65,sale_full,9436
77,purchase,4197
78,purchase,4586
79,sale_full,6704
80,sale_full,10111
81,purchase,7913
82,purchase,14576
83,purchase,10970
84,purchase,13786
166,sale_full,1822
167,sale_full,60962
168,purchase,978946
169,purchase,13295
171,purchase,693025
172,purchase,40500
173,purchase,71232
174,purchase,34294
175,purchase,36526
176,purchase,40051
177,purchase,967167
178,sale_partial,9153
179,sale_partial,22949
180,sale_partial,5268
181,sale_partial,5257
182,sale_partial,2104
183,sale_partial,9951
184,sale_full,188824
185,sale_partial,2352
186,sale_partial,14381
187,purchase,212066
188,sale_partial,13219
189,sale_partial,3749
190,sale_partial,9993
191,sale_partial,3492
192,sale_partial,2334
193,sale_partial,14205
194,sale_partial,168666
195,sale_partial,3250
196,sale_partial,2784
197,sale_partial,6424
198,sale_partial,13480
199,sale_partial,9705
200,sale_partial,47548
201,purchase,6785
202,sale_full,12966
203,sale_full,9008
204,sale_partial,3533
205,sale_partial,13413
206,purchase,4484
207,purchase,14974
208,purchase,4557
209,purchase,2089
210,sale_partial,6741
211,sale_partial,5778
212,purchase,6466
213,sale_full,8839
214,purchase,13044
215,sale_partial,11220
216,sale_full,2302
217,sale_partial,1668
244,sale_partial,4106
245,purchase,1742
246,purchase,11648
247,purchase,5538
248,sale_full,2459
249,sale_full,8961
250,purchase,5480
251,purchase,5176
252,purchase,1994
253,sale_partial,7240
254,sale_partial,7956
255,sale_partial,12138
256,sale_partial,6574
257,sale_partial,6252
258,purchase,13739
259,sale_partial,12231
260,purchase,11874
261,sale_full,1497
262,sale_full,10378
263,sale_partial,12416
264,purchase,6461
265,sale_partial,7721
266,sale_full,4938
267,purchase,195442
268,purchase,176364
269,purchase,94698
270,purchase,90317
271,purchase,35752
272,purchase,39072
273,purchase,34542
274,purchase,42760
275,purchase,11111
276,purchase,2393
277,purchase,1159
278,purchase,5615
279,purchase,14396
280,purchase,13634
281,purchase,8582
282,purchase,7896
283,purchase,8488
284,sale_full,14380
285,sale_full,10893
286,sale_full,10224
287,sale_full,5992
288,sale_full,7383
289,sale_full,29283
290,sale_full,42038
291,sale_full,47584
292,purchase,23452
293,sale_full,13924
294,sale_full,22474
295,sale_full,49696
296,sale_full,79777
297,sale_full,80414
298,sale_full,97051
299,sale_full,85142
300,sale_full,64386
301,sale_full,428372
302,purchase,177395
303,purchase,109134
304,purchase,73682
305,purchase,67739
306,purchase,65678
307,purchase,49094
308,purchase,16823
309,purchase,44999
310,purchase,45111
311,purchase,41118
312,purchase,14466
313,purchase,11967
314,purchase,8420
315,purchase,13402
316,purchase,9745
317,purchase,6895
318,purchase,8482
319,sale_full,11058
320,sale_full,6775
321,sale_full,10655
322,sale_full,7173
323,purchase,8365
324,sale_full,26444
325,sale_full,15209
326,sale_full,31293
327,sale_full,21260
328,sale_full,29399
329,sale_full,15854
330,sale_full,74082
331,sale_full,61620
332,sale_full,55240
333,sale_full,54597
334,sale_full,182594
335,sale_full,202414
336,purchase,512164
337,purchase,245161
338,purchase,81958
339,purchase,75627
340,purchase,55930
341,purchase,28442
342,purchase,78893
343,purchase,33493
344,purchase,40014
345,purchase,29175
346,purchase,9137
347,purchase,19914
348,purchase,28148
349,sale_full,10046
350,purchase,13927
351,sale_full,19966
352,sale_full,463867
353,sale_full,407638
354,purchase,21736
355,purchase,47738
356,purchase,24519
357,purchase,1750
358,purchase,1817
359,purchase,7150
360,purchase,2813
361,purchase,10813
362,purchase,4851
363,purchase,3177
364,purchase,7527
365,purchase,1992
366,sale_full,4220
367,sale_full,71294
368,sale_full,91431
369,purchase,65469
370,purchase,87810
383,purchase,14242
384,sale_full,9533
385,sale_full,11402
386,purchase,6983
387,sale_partial,3373
388,sale_full,48816
389,sale_full,24243
390,sale_full,6190
391,purchase,9108
392,purchase,12369
393,sale_full,7130
394,sale_partial,7429
395,purchase,8741
396,purchase,9105
397,sale_partial,3700
398,purchase,34489
399,purchase,9019
400,sale_full,11398
401,sale_partial,19150
402,sale_full,24537
403,sale_full,8615
404,purchase,7625
405,sale_full,9083
406,sale_partial,36602
407,sale_partial,12413
408,sale_partial,10768
409,sale_partial,12505
410,sale_partial,11308
411,sale_partial,2664
412,purchase,3818
413,purchase,13708
414,purchase,49141
415,sale_partial,15556
416,sale_full,1487
417,purchase,10994
418,sale_partial,7968
419,purchase,28874
420,sale_full,7301
421,sale_partial,6698
423,sale_full,11837
424,sale_full,14279
425,sale_full,1958
426,sale_full,9417
427,sale_full,2099
428,sale_full,12748
429,sale_full,9095
430,sale_partial,11165
431,sale_partial,11556
432,purchase,8046
433,purchase,7076
477,sale_full,11096
478,sale_full,4291
479,sale_full,14922
480,sale_full,9087
481,sale_full,7657
482,sale_full,7684
483,sale_full,5436
484,sale_full,9864
515,sale_full,741
516,sale_full,4915
517,purchase,45648
518,purchase,10120
519,sale_partial,7070
547,sale_full,14734
548,sale_full,14522
616,purchase,38674
617,purchase,27769
618,purchase,29909
619,purchase,12032
620,purchase,102009
621,purchase,45632
622,purchase,5421
623,purchase,37904
624,purchase,14437
741,sale_full,31262
742,sale_full,84959
743,sale_full,108983
744,sale_full,15415
745,sale_full,70983
746,sale_full,70140
747,sale_full,19558
748,sale_full,5357
749,sale_full,9736
751,purchase,10488
752,purchase,11163
753,purchase,11389
754,purchase,36291
755,purchase,20206
759,purchase,7163
760,purchase,10513
761,purchase,13022
762,purchase,29752
763,purchase,2305
764,purchase,11442
765,purchase,2812
766,purchase,3595
769,sale_partial,74082
770,purchase,3254
771,purchase,13067
772,purchase,14130
774,purchase,12785
775,purchase,3798
776,purchase,9713
777,purchase,6722
778,purchase,14492
779,purchase,6946
784,purchase,38435
785,purchase,5814
786,purchase,1223
787,purchase,13664
788,purchase,5509
789,purchase,5637
790,purchase,14878
791,purchase,11885
792,purchase,12702
793,purchase,12629
794,purchase,6921
795,purchase,10436
796,purchase,11215
797,purchase,28182
798,purchase,12073
799,purchase,13394
