Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",7035552,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",6053372,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
3,"Heat Waves","Glass Animals",4353995,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
4,"Bad Habits","Ed Sheeran",3818766,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
5,Pepas,Farruko,3636135,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
6,"My Universe",Coldplay,3633151,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM
7,Woman,"Doja Cat",3630898,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
8,Shivers,"Ed Sheeran",3534484,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
9,"love nwantiti (ah ah ah)",CKay,3249486,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
10,"good 4 u","Olivia Rodrigo",3176648,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
11,MONEY,LISA,3169543,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
12,"THATS WHAT I WANT","Lil Nas X",3145145,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
13,Beggin',Måneskin,3098430,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
14,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,3046237,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
15,"Cold Heart - PNAU Remix","Elton John",3011204,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
16,"MONTERO (Call Me By Your Name)","Lil Nas X",2988194,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
17,"Life Goes On","Oliver Tree",2906705,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
18,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,2862607,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
19,"Need To Know","Doja Cat",2847829,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
20,"Happier Than Ever","Billie Eilish",2793569,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
21,"Kiss Me More (feat. SZA)","Doja Cat",2582095,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
22,"Way 2 Sexy (with Future & Young Thug)",Drake,2429597,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
23,Yonaguni,"Bad Bunny",2173513,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
24,traitor,"Olivia Rodrigo",2121135,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
25,"Fair Trade (with Travis Scott)",Drake,2045503,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
26,"Levitating (feat. DaBaby)","Dua Lipa",2026277,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
27,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,2005680,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
28,"Todo De Ti","Rauw Alejandro",1996052,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
29,Volví,Aventura,1985401,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
30,"Meet Me At Our Spot","THE ANXIETY",1947582,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
31,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1872521,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
32,"Blinding Lights","The Weeknd",1830817,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
33,"In Da Getto","J Balvin",1807243,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
34,"Take My Breath","The Weeknd",1744450,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
35,LALISA,LISA,1675524,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
36,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1674217,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
37,"drivers license","Olivia Rodrigo",1666122,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
38,"I WANNA BE YOUR SLAVE",Måneskin,1645804,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
39,"Where Are You Now","Lost Frequencies",1637812,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
40,"Qué Más Pues?","J Balvin",1618654,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
41,"Don't Be Shy",Tiësto,1592328,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
42,"Get Into It (Yuh)","Doja Cat",1540222,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
43,"Girls Want Girls (with Lil Baby)",Drake,1527759,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
44,2055,"Sleepy Hallow",1514520,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
45,Butter,BTS,1512112,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
46,Bored,"Billie Eilish",1494084,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
47,Cúrame,"Rauw Alejandro",1480907,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
48,Hurricane,"Kanye West",1469479,https://open.spotify.com/track/6Hfu9sc7jvv6coyy2LlzBF
49,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",1460454,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
50,"Sweater Weather","The Neighbourhood",1445399,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
51,Sobrio,Maluma,1428825,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
52,"deja vu","Olivia Rodrigo",1416325,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
53,"AM Remix","Nio Garcia",1389029,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
54,"Watermelon Sugar","Harry Styles",1385374,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
55,"Volando - Remix",Mora,1378906,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
56,"Ley Seca","Jhay Cortez",1374654,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
57,"The Feels",TWICE,1373719,https://open.spotify.com/track/6pgqZ7Iw4LfHlfgWWaRFSY
58,Nostálgico,Rvssian,1349939,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
59,"Don't Go Yet","Camila Cabello",1307548,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
60,"family ties (with Kendrick Lamar)","Baby Keem",1288226,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
61,París,Ingratax,1275942,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
62,DÁKITI,"Bad Bunny",1253226,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
63,"Leave The Door Open","Bruno Mars",1249676,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
64,happier,"Olivia Rodrigo",1239669,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
65,"Last One Standing (feat. Polo G, Mozzy & Eminem)","Skylar Grey",1230612,https://open.spotify.com/track/5W8HXMOMLtXLz0RGKUtnlZ
66,"Permission to Dance",BTS,1224333,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
67,"Dark Red","Steve Lacy",1220941,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
68,"Someone You Loved","Lewis Capaldi",1196266,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
69,"Mood (feat. iann dior)",24kGoldn,1188497,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
70,Dynamite,BTS,1180990,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
71,"Wildest Dreams (Taylor's Version)","Taylor Swift",1167262,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL
72,"Don't Start Now","Dua Lipa",1157719,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
73,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,1155053,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
74,"Love Again","Dua Lipa",1153306,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
75,Savage,aespa,1144106,https://open.spotify.com/track/3dbLT62Cvs46Ju7a8gpr36
76,Freaks,"Surf Curse",1139775,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
77,"Entre Nosotros","Tiago PZK",1133491,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
78,"Happier Than Ever - Edit","Billie Eilish",1112736,https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo
79,"Like I Can","Sam Smith",1106014,https://open.spotify.com/track/0mJBiaODgK0XjOLCN5fItq
80,SEJODIOTO,"KAROL G",1096256,https://open.spotify.com/track/704LUEih663hiE3CnyUrFW
81,"lovely (with Khalid)","Billie Eilish",1091986,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
82,"Love Tonight - Edit",Shouse,1091223,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
83,"I GUESS I'M IN LOVE","Clinton Kane",1075081,https://open.spotify.com/track/1is8gU4RVcN4J8xItxWoOY
84,"edamame (feat. Rich Brian)",bbno$,1066424,https://open.spotify.com/track/1uMHCAyGmHqyygoNRuo7MV
85,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,1048914,https://open.spotify.com/track/30QR0ndUdiiMQMA9g1PGCm
86,Miénteme,TINI,1047715,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
87,"Ain't Shit","Doja Cat",1042178,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
88,"Pareja Del Año","Sebastian Yatra",1038939,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
89,"Summer of Love (Shawn Mendes & Tainy)","Shawn Mendes",1038933,https://open.spotify.com/track/0z8hI3OPS8ADPWtoCjjLl6
